Blank,Drop for 1x2,Drop for 2x3,Aphid Type,Weevil Timing,Aphid Timing,Treatment,BioSample,TechSample,Chitenase,OPR1,PR1,PsOX 11,GA,AOX 3,ACS2,LOX 2,ICS1,defensin,UBQ,ChlAbBp,lectin
,No,No,Infective,None,Aphids First,A+W-,1,1,1.551180902,-1.627355409,4.042935445,-0.186400296,4.082698116,2.362809422,-2.23383087,2.716099416,1.580787054,5.675202261,0.759131655,6.325053852,1.657643671
,No,No,Infective,None,Aphids First,A+W-,1,2,1.966376063,-0.5723854,3.880045858,-0.315325671,3.714636963,2.098720346,-1.612770996,2.288427606,1.408193406,6.035638795,0.327994109,6.340996237,2.307122579
,No,No,Infective,None,Aphids First,A+W-,1,3,1.278080913,-0.933515081,3.537631151,0.067291572,3.626607271,1.701547012,-1.744468961,1.23761648,1.32362945,5.512312674,0.599014656,6.554485569,1.788648488
,No,No,Infective,None,Aphids First,A+W-,2,1,6.087136052,-2.267130257,3.800333932,4.694049003,3.650174275,2.516688096,0.391117503,0.310185553,1.310459654,5.425669276,0.42364842,6.693808152,3.210986502
,No,No,Infective,None,Aphids First,A+W-,2,2,6.082284022,0.292662281,4.086603718,4.157553085,3.826926806,2.120207909,3.168558255,2.259315424,1.578014465,4.599437837,0.564357297,6.808177437,2.51090785
,No,No,Infective,None,Aphids First,A+W-,2,3,5.831364742,0.065310006,4.564875272,5.175093146,3.751373763,2.628284792,2.489274018,1.582803776,1.399182493,4.591813218,0.799334192,6.734703836,2.867878648
,No,No,Infective,None,Aphids First,A+W-,3,1,4.527554896,4.34688014,3.118277106,5.359470296,3.467183419,1.972567559,4.70873129,1.835802497,0.538986842,4.47813708,0.967768956,6.612709932,3.205441325
,No,No,Infective,None,Aphids First,A+W-,3,2,4.776394733,4.643547134,4.612702428,5.941020781,4.430658,2.955450261,5.412275679,0.640816758,1.84972816,5.607966985,0.781312365,6.633504347,2.386141357
,No,No,Infective,None,Aphids First,A+W-,3,3,3.912040199,3.900493356,3.507132675,5.514735264,3.226661348,1.733431782,4.18263258,1.29168196,0.435014765,4.829562701,0.827060079,6.578052573,2.606562161
,No,No,Infective,None,Aphids First,A+W-,4,1,5.669861449,1.483489137,4.537149385,5.334516998,2.198724079,1.047909221,3.034780849,0.215917536,-0.023155522,5.804127637,0.359878879,7.000872353,2.835993878
,No,No,Infective,None,Aphids First,A+W-,4,2,5.669168302,2.030382263,4.44010878,5.255498219,2.269425091,1.111678761,3.928247565,1.379711652,-0.035632171,5.472803285,0.816662871,7.325958381,2.067986801
,No,No,Infective,None,Aphids First,A+W-,4,3,NA,NA,4.157997877,NA,2.173077633,0.862145776,NA,0.466143668,-0.186045109,NA,0.337005022,6.801245965,2.131063195
,Yes,No,Infective,Second,Aphids First,A+W+,1,1,2.559016903,2.490631991,3.405240039,4.223402067,2.026130431,1.210798808,0.743929418,1.450412665,1.061619816,0.972198641,0.50959867,7.407749748,1.179372116
,Yes,No,Infective,Second,Aphids First,A+W+,1,2,2.52782528,2.249416772,2.392552008,3.805434317,1.167321074,0.247324227,0.813244136,1.243854805,0.389267051,3.021141707,0.115891072,7.38764848,1.82746473
,Yes,No,Infective,Second,Aphids First,A+W+,1,3,2.161150421,2.553015237,2.965784727,3.191305915,1.93532815,1.199015306,0.089598479,1.083044659,0.852982514,2.994802114,0.133219751,7.305857113,1.447620075
,Yes,No,Infective,Second,Aphids First,A+W+,2,1,2.290768944,4.088336242,1.882395683,1.463983141,1.36001599,0.715198574,1.24992686,0.958278166,0.385801315,3.590908689,0.653773284,7.033450271,2.150471316
,Yes,No,Infective,Second,Aphids First,A+W+,2,2,2.003806011,4.03219132,2.337100234,1.372487713,1.742633234,0.824715828,0.268430452,1.919673306,0.588893439,2.938657192,0.919248654,6.689649269,1.767854072
,Yes,No,Infective,Second,Aphids First,A+W+,2,3,2.257497879,3.361917997,1.515720825,1.083445339,1.388435025,0.784513292,0.384879178,1.594587278,0.231922641,3.186803883,1.14382834,7.12702514,2.163641112
,Yes,No,Infective,Second,Aphids First,A+W+,3,1,1.614257296,2.605001276,3.135605786,3.057528509,2.383794376,1.561531281,0.798688045,1.695093619,1.639704564,1.591872221,1.117488747,7.371012948,1.751911687
,Yes,No,Infective,Second,Aphids First,A+W+,3,2,1.364724311,2.486473108,3.123129137,2.827403645,2.507174574,1.088804904,0.333586287,1.435163427,1.10736753,3.690721883,2.252170682,7.288528433,2.727862917
,Yes,No,Infective,Second,Aphids First,A+W+,3,3,1.956672003,2.859386291,3.250668218,3.296664287,3.080407293,1.381313014,0.764723833,0.782218783,0.974976418,2.75497319,0.375821264,6.786689874,1.945299751
,Yes,No,Infective,Second,Aphids First,A+W+,4,1,2.175706512,NA,4.099773514,2.957022168,4.027246341,2.137536588,1.061390826,0.615863459,1.285506355,3.891734566,0.820821754,6.733317541,2.671717996
,Yes,No,Infective,Second,Aphids First,A+W+,4,2,1.870028605,NA,4.344454469,2.548065332,4.201919431,2.410636578,1.164669756,0.747561424,1.354127926,4.118393694,0.67179511,6.705591654,3.017598439
,Yes,No,Infective,Second,Aphids First,A+W+,4,3,NA,NA,5.008489468,NA,4.217861816,2.477178707,NA,1.028286032,1.330560922,4.027591413,0.857558555,6.666775412,1.904404067
,Yes,No,Sham,Second,Aphids First,A-W+,1,1,-0.543509877,3.930298685,1.019427444,1.55270598,0.241276441,-0.080534389,1.364296144,1.056011919,0.541066283,3.261663779,0.779926071,7.409136042,0.495928996
,Yes,No,Sham,Second,Aphids First,A-W+,1,2,1.020230162,3.779192599,0.84822009,1.999785912,0.419415266,-0.029241498,1.511936494,1.158597702,0.167459953,3.148680788,0.388991061,7.375171831,0.656739142
,Yes,No,Sham,Second,Aphids First,A-W+,1,3,0.952994885,3.807611634,0.986156379,1.982457232,0.368122375,-0.045183883,0.055634267,1.419914189,0.254796498,3.823806142,-0.11492694,7.02374621,-0.105722757
,Yes,No,Sham,Second,Aphids First,A-W+,2,1,0.414419526,3.216357089,1.431850016,2.401811277,2.11485327,0.95710694,1.105059099,0.41900966,0.344212484,1.915571954,0.56366415,7.490234263,-0.231182396
,Yes,No,Sham,Second,Aphids First,A-W+,2,2,-0.523408609,3.488070784,1.079038101,1.838282619,2.420531177,1.587177727,2.403323768,1.511409617,0.903582259,2.922714807,1.065502709,7.462508375,0.332346261
,Yes,No,Sham,Second,Aphids First,A-W+,2,3,0.138546948,3.126247955,2.491672055,2.347052649,2.606987768,1.23991099,1.55699106,1.340202263,0.850209926,2.262145544,0.565743592,7.619852785,-0.337927062
,Yes,No,Sham,Second,Aphids First,A-W+,3,1,-0.049989085,2.327049256,1.564241128,-0.332654351,2.691551724,1.811064266,-1.962117175,1.586269512,0.499477452,4.31108861,1.494560814,7.347445943,1.393554595
,Yes,No,Sham,Second,Aphids First,A-W+,3,2,0.821990068,2.731154062,1.719506096,1.235244572,2.224370525,1.167130536,-0.435807084,1.918980159,-0.132672776,4.824017524,1.160463873,7.583115985,1.618827428
,Yes,No,Sham,Second,Aphids First,A-W+,3,3,0.768617735,2.733926651,2.133314963,0.853320475,2.632634214,1.679366302,-0.941804525,1.831643614,0.513340396,3.714982035,1.270674274,7.267734018,1.789341635
,Yes,No,Sham,Second,Aphids First,A-W+,4,1,1.504046894,6.561485382,2.663572556,4.32598785,3.106053738,0.976515061,6.633601011,0.934018015,0.03784143,5.044438327,1.511889493,7.29407361,2.184435528
