Well,Fluor,Target,Content,treatment,location,aphid treatment,bio.rep,tech.rep,acs.ct,betat.ct,pemv.1,pemv.2
D10,SYBR,PEMV 1,Unkn-16,A+ BOT,Bottom,Infective,1,1,18.14591277,23.74890754,-5.602994775,-3.236088132
D11,SYBR,PEMV 1,Unkn-16,A+ BOT,Bottom,Infective,1,2,17.606177,23.381989,-5.775811996,-2.92341292
D12,SYBR,PEMV 1,Unkn-16,A+ BOT,Bottom,Infective,1,3,18.49474436,23.42910438,-4.93436002,-2.480790095
E01,SYBR,PEMV 1,Unkn-17,A+ BOT,Bottom,Infective,2,1,20.01013369,24.20502153,-4.194887843,-1.857505044
E02,SYBR,PEMV 1,Unkn-17,A+ BOT,Bottom,Infective,2,2,19.19184523,24.83901584,-5.647170617,-2.761836139
E03,SYBR,PEMV 1,Unkn-17,A+ BOT,Bottom,Infective,2,3,19.24766485,24.65673959,-5.409074737,-2.375591704
E04,SYBR,PEMV 1,Unkn-18,A+ BOT,Bottom,Infective,3,1,19.97968433,24.33548513,-4.355800801,-2.071872311
E05,SYBR,PEMV 1,Unkn-18,A+ BOT,Bottom,Infective,3,2,20.65105093,24.39259934,-3.741548416,-1.902555041
E06,SYBR,PEMV 1,Unkn-18,A+ BOT,Bottom,Infective,3,3,20.22128691,24.3338809,-4.112593984,-1.846264012
H08,SYBR,PEMV 1,Unkn-33,A+ BOT,Bottom,Infective,4,1,22.51177843,25.70414299,-3.192364561,1.252384531
H09,SYBR,PEMV 1,Unkn-33,A+ BOT,Bottom,Infective,4,2,23.57165298,24.87251625,-1.300863268,2.084011275
D01,SYBR,PEMV 1,Unkn-13,A+ MID,Middle,Infective,1,1,20.72402363,26.46717675,-5.743153114,-3.488120152
D02,SYBR,PEMV 1,Unkn-13,A+ MID,Middle,Infective,1,2,20.52289749,26.28779647,-5.764898977,-3.507645632
D03,SYBR,PEMV 1,Unkn-13,A+ MID,Middle,Infective,1,3,20.02867961,26.11131742,-6.082637817,-3.246578369
D04,SYBR,PEMV 1,Unkn-14,A+ MID,Middle,Infective,2,1,19.12650253,25.74790344,-6.621400912,-4.546644757
D05,SYBR,PEMV 1,Unkn-14,A+ MID,Middle,Infective,2,2,18.85755185,25.85124196,-6.993690113,-4.804111549
D06,SYBR,PEMV 1,Unkn-14,A+ MID,Middle,Infective,2,3,18.48650293,25.99255109,-7.50604816,-4.853855807
D07,SYBR,PEMV 1,Unkn-15,A+ MID,Middle,Infective,3,1,19.04927397,24.94291793,-5.893643963,-3.559686634
D08,SYBR,PEMV 1,Unkn-15,A+ MID,Middle,Infective,3,2,19.58629979,24.91234613,-5.326046342,-3.042247493
D09,SYBR,PEMV 1,Unkn-15,A+ MID,Middle,Infective,3,3,18.18677113,25.0993968,-6.912625672,-3.350163046
H06,SYBR,PEMV 1,Unkn-32,A+ MID,Middle,Infective,4,1,26.60550921,29.56171266,-2.956203446,-1.330846363
H07,SYBR,PEMV 1,Unkn-32,A+ MID,Middle,Infective,4,2,25.54361057,29.80253368,-4.258923108,-1.571667382
C04,SYBR,PEMV 1,Unkn-10,A+ TOP,Top,Infective,1,1,17.01005479,23.27351375,-6.263458952,-3.091580804
C05,SYBR,PEMV 1,Unkn-10,A+ TOP,Top,Infective,1,2,17.10932644,23.25743247,-6.14810603,-3.161583822
C06,SYBR,PEMV 1,Unkn-10,A+ TOP,Top,Infective,1,3,17.11825557,23.41475669,-6.296501127,-3.266945063
C07,SYBR,PEMV 1,Unkn-11,A+ TOP,Top,Infective,2,1,20.52208117,26.9662752,-6.444194029,-4.961632401
C08,SYBR,PEMV 1,Unkn-11,A+ TOP,Top,Infective,2,2,19.97386312,27.18619517,-7.212332055,-5.296071617
C09,SYBR,PEMV 1,Unkn-11,A+ TOP,Top,Infective,2,3,20.17066285,26.59276379,-6.422100944,-4.619146972
C10,SYBR,PEMV 1,Unkn-12,A+ TOP,Top,Infective,3,1,17.43551072,24.69941339,-7.263902678,-4.605586419
C11,SYBR,PEMV 1,Unkn-12,A+ TOP,Top,Infective,3,2,15.75861749,24.28912044,-8.530502952,-4.323205354
C12,SYBR,PEMV 1,Unkn-12,A+ TOP,Top,Infective,3,3,18.80944836,25.92253742,-7.113089061,-5.888852732
H04,SYBR,PEMV 1,Unkn-31,A+TOP,Top,Infective,4,1,15.58677949,25.02227458,-9.435495092,-5.221642319
H05,SYBR,PEMV 1,Unkn-31,A+TOP,Top,Infective,4,2,16.22715036,24.16075075,-7.933600385,-5.11104096
B07,SYBR,PEMV 1,Unkn-07,W+A+ BOTTOM,Bottom,Weevil and Infective,1,1,21.00734601,26.03399064,-5.026644626,-1.91882042
B08,SYBR,PEMV 1,Unkn-07,W+A+ BOTTOM,Bottom,Weevil and Infective,1,2,21.78013792,25.70028155,-3.92014363,-1.952929176
B09,SYBR,PEMV 1,Unkn-07,W+A+ BOTTOM,Bottom,Weevil and Infective,1,3,22.06332809,25.28814549,-3.224817398,-1.282177019
B10,SYBR,PEMV 1,Unkn-08,W+A+ BOTTOM,Bottom,Weevil and Infective,2,1,18.64848057,26.47386869,-7.825388116,-5.588590755
B11,SYBR,PEMV 1,Unkn-08,W+A+ BOTTOM,Bottom,Weevil and Infective,2,2,19.69758038,26.27998278,-6.582402406,-5.255842838
B12,SYBR,PEMV 1,Unkn-08,W+A+ BOTTOM,Bottom,Weevil and Infective,2,3,,26.45396658,-7.280936105,-5.283335092
C01,SYBR,PEMV 1,Unkn-09,W+A+ BOTTOM,Bottom,Weevil and Infective,3,1,18.95676484,25.35916361,-6.402398774,-2.272769927
C02,SYBR,PEMV 1,Unkn-09,W+A+ BOTTOM,Bottom,Weevil and Infective,3,2,18.84402851,25.06759388,-6.223565366,-2.164810394
C03,SYBR,PEMV 1,Unkn-09,W+A+ BOTTOM,Bottom,Weevil and Infective,3,3,18.61760806,24.98555209,-6.367944039,-2.084855651
H02,SYBR,PEMV 1,Unkn-30,W+A+ BOTTOM,Bottom,Weevil and Infective,4,1,20.2417998,26.3802943,-6.138494496,-5.185548305
H03,SYBR,PEMV 1,Unkn-30,W+A+ BOTTOM,Bottom,Weevil and Infective,4,2,20.47060616,26.2022982,-5.731692041,-4.608471708
A10,SYBR,PEMV 1,Unkn-04,W+A+ MID,Middle,Weevil and Infective,1,1,21.1747535,26.1436935,-4.96894,-4.877887292
A11,SYBR,PEMV 1,Unkn-04,W+A+ MID,Middle,Weevil and Infective,1,2,,25.8720499,-3.454413747,-4.606243694
A12,SYBR,PEMV 1,Unkn-04,W+A+ MID,Middle,Weevil and Infective,1,3,23.66051881,26.18816393,-2.52764512,-4.922357721
