Replicate,Duration,Date,Dorm,Rail,total.source.aphids,ratio,PEMV titer,Btubulin titer,PEMV ct,PEMV,Source Species,Weevil,Ladybird,Source weevil damage,aphid.total.in.row,Plant Number,Total Aphids,Total Maternal Aphids,Height,Height Count,Top Maternal,Top Nymph,Top Total,Middle Maternal,Middle Nymph,Middle Total,Bottom Maternal,Bottom Nymph,Bottom Total,Weevil Herbivory
1,7,8.8.2017,1,A,30,0.86784141,,,,Present,Vetch,Present,Absent,Yes,197,5,7,3,Top,0,0,0,0,0,0,0,3,4,7,No
1,7,8.8.2017,1,B,30,0.690721649,,,,Present,Vetch,Present,Absent,Yes,67,5,12,3,Top,9,3,6,9,0,1,1,0,2,2,No
1,7,8.8.2017,2,A,9,0.935251799,,,,Present,Vetch,Present,Absent,No,130,5,28,2,Top,17,2,15,17,0,11,11,0,0,0,No
1,7,8.8.2017,2,B,9,0.884615385,,,,Absent,Vetch,Present,Absent,No,69,5,34,1,Top,12,1,11,12,0,16,16,0,6,6,No
1,7,8.8.2017,3,A,2,0.978021978,,,,Present,Vetch,Present,Absent,Yes,89,5,1,0,Top,0,0,0,0,0,1,1,0,0,0,No
1,7,8.8.2017,3,B,2,0.968253968,,,,Present,Vetch,Present,Absent,Yes,61,5,17,0,Top,8,0,8,8,0,9,9,0,0,0,No
1,7,8.8.2017,4,A,0,1,,,,Present,Vetch,Present,Absent,Yes,72,5,12,2,Top,3,0,3,3,0,4,4,2,3,5,No
1,7,8.8.2017,4,B,0,1,,,,Present,Vetch,Present,Absent,Yes,84,5,15,0,Top,0,0,0,0,0,11,11,0,4,4,No
1,7,8.8.2017,5,A,0,1,,,,Present,Pea,Present,Present,Yes,4,5,1,0,Top,0,0,0,0,0,0,0,0,1,1,No
1,7,8.8.2017,5,B,0,1,,,,Present,Pea,Present,Present,Yes,1,5,1,0,Top,1,0,1,1,0,0,0,0,0,0,No
1,7,8.8.2017,6,A,67,0.094594595,,,,Absent,Pea,Present,Present,Yes,7,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,Yes
1,7,8.8.2017,6,B,67,0.094594595,,,,Present,Pea,Present,Present,Yes,7,5,4,2,Top,3,2,1,3,0,1,1,0,0,0,No
1,7,8.8.2017,7,A,3,0.625,,,,Absent,Pea,Present,Absent,No,5,5,2,1,Top,0,0,0,0,0,0,0,1,1,2,No
1,7,8.8.2017,7,B,3,0.918918919,,,,Absent,Pea,Present,Absent,No,34,5,16,0,Top,3,0,3,3,0,4,4,0,9,9,No
1,7,8.8.2017,8,A,3,0.833333333,,,,Present,Pea,Present,Present,Yes,15,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,8,B,3,0.25,,,,Present,Pea,Present,Present,Yes,1,5,1,0,Top,0,0,0,0,0,1,1,0,0,0,No
1,7,8.8.2017,9,A,99,0.357142857,,,,Absent,Pea,Present,Absent,No,55,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,9,B,99,0.116071429,,,,Absent,Pea,Present,Absent,No,13,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,10,A,88,0.128712871,,,,Absent,Pea,Present,Absent,Yes,13,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,10,B,88,0.439490446,,,,Absent,Pea,Present,Absent,Yes,69,5,3,1,Top,0,0,0,0,1,2,3,0,0,0,No
1,7,8.8.2017,11,A,46,0.701298701,,,,Absent,Pea,Present,Absent,No,108,5,4,0,Top,0,0,0,0,0,4,4,0,0,0,No
1,7,8.8.2017,11,B,46,0.041666667,,,,Absent,Pea,Present,Absent,No,2,5,1,0,Top,0,0,0,0,0,1,1,0,0,0,No
1,7,8.8.2017,12,A,143,0.148809524,,,,Absent,Pea,Absent,Absent,No,25,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,12,B,143,0.299019608,,,,Absent,Pea,Absent,Absent,No,61,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,13,A,16,0,,,,Absent,Pea,Absent,Present,No,0,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,13,B,16,0.36,,,,Absent,Pea,Absent,Present,No,9,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,14,A,0,1,,,,Present,Pea,Absent,Present,No,21,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,14,B,0,1,,,,Absent,Pea,Absent,Present,No,14,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,15,A,0,1,,,,Absent,Pea,Absent,Present,No,1,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,15,B,0,1,,,,Absent,Pea,Absent,Present,No,2,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,16,A,17,0.527777778,,,,Absent,Pea,Absent,Present,No,19,5,6,1,Top,5,1,4,5,0,0,0,0,1,1,No
1,7,8.8.2017,16,B,17,0.527777778,,,,Present,Pea,Absent,Present,No,19,5,15,3,Top,1,1,0,1,2,12,14,0,0,0,No
1,7,8.8.2017,17,A,6,0.872340426,,,,Absent,Vetch,Present,Present,Yes,41,5,7,0,Top,0,0,0,0,0,6,6,0,1,1,Yes
1,7,8.8.2017,17,B,6,0.9,,,,Absent,Vetch,Present,Present,Yes,54,5,34,5,Top,12,0,12,12,1,1,2,4,16,20,No
1,7,8.8.2017,18,A,12,0.769230769,,,,Present,Vetch,Present,Present,No,40,5,3,2,Top,1,0,1,1,2,0,2,0,0,0,Yes
1,7,8.8.2017,18,B,12,0.636363636,,,,Absent,Vetch,Present,Present,No,21,5,17,2,Top,1,1,0,1,1,0,1,0,15,15,No
1,7,8.8.2017,19,A,0,1,,,,Present,Vetch,Present,Present,Yes,59,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,Yes
1,7,8.8.2017,19,B,0,1,,,,Present,Vetch,Present,Present,Yes,52,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,20,A,1,0.857142857,,,,Absent,Vetch,Present,Present,Yes,6,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,20,B,1,0.933333333,,,,Absent,Vetch,Present,Present,Yes,14,5,1,0,Top,0,0,0,0,0,0,0,0,1,1,Yes
1,7,8.8.2017,21,A,36,0.675675676,,,,Present,Vetch,Absent,Absent,No,75,5,28,4,Top,17,1,16,17,3,8,11,0,0,0,No
1,7,8.8.2017,21,B,36,0.650485437,,,,Present,Vetch,Absent,Absent,No,67,5,22,6,Top,7,1,6,7,5,10,15,0,0,0,No
1,7,8.8.2017,22,A,48,0.698113208,,,,Present,Vetch,Absent,Absent,No,111,5,15,2,Top,5,1,4,5,0,4,4,1,5,6,No
1,7,8.8.2017,22,B,48,0.510204082,,,,Present,Vetch,Absent,Absent,No,50,5,1,0,Top,0,0,0,0,0,1,1,0,0,0,No
1,7,8.8.2017,23,A,24,0.75257732,,,,Present,Vetch,Absent,Absent,No,73,5,6,1,Top,0,0,0,0,1,5,6,0,0,0,No
1,7,8.8.2017,23,B,24,0.830985915,,,,Absent,Vetch,Absent,Absent,No,118,5,15,1,Top,0,0,0,0,1,14,15,0,0,0,No
1,7,8.8.2017,24,A,0,1,,,,Absent,Vetch,Absent,Absent,No,5,5,1,0,Top,0,0,0,0,0,1,1,0,0,0,No
1,7,8.8.2017,24,B,0,,,,,Absent,Vetch,Absent,Absent,No,0,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,25,A,28,0.282051282,,,,Absent,Vetch,Absent,Present,No,11,5,1,1,Top,1,1,0,1,0,0,0,0,0,0,No
1,7,8.8.2017,25,B,28,0.50877193,,,,Present,Vetch,Absent,Present,No,29,5,3,1,Top,0,0,0,0,1,1,2,0,1,1,No
1,7,8.8.2017,26,A,25,0.468085106,,,,Absent,Vetch,Absent,Present,No,22,5,4,2,Top,3,2,1,3,0,1,1,0,0,0,No
1,7,8.8.2017,26,B,25,0.637681159,,,,Absent,Vetch,Absent,Present,No,44,5,7,1,Top,0,0,0,0,0,1,1,1,5,6,No
1,7,8.8.2017,27,A,0,1,,,,Present,Vetch,Absent,Present,No,27,5,3,1,Top,0,0,0,0,1,2,3,0,0,0,No
1,7,8.8.2017,27,B,0,1,,,,Present,Vetch,Absent,Present,No,24,5,4,1,Top,2,0,2,2,1,0,1,0,1,1,No
1,7,8.8.2017,28,A,0,1,,,,Absent,Vetch,Absent,Present,No,3,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,28,B,0,,,,,Absent,Vetch,Absent,Present,No,0,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,29,A,52,0.623188406,,,,Present,Pea,Absent,Absent,No,86,5,22,4,Top,13,3,10,13,1,1,2,0,7,7,No
1,7,8.8.2017,29,B,52,0.638888889,,,,Present,Pea,Absent,Absent,No,92,5,2,0,Top,2,0,2,2,0,0,0,0,0,0,No
1,7,8.8.2017,30,A,46,0.6,,,,Present,Pea,Absent,Absent,No,69,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,30,B,46,0.28125,,,,Present,Pea,Absent,Absent,No,18,5,6,2,Top,6,2,4,6,0,0,0,0,0,0,No
1,7,8.8.2017,31,A,85,0.32,,,,Absent,Pea,Absent,Absent,No,40,5,6,5,Top,0,0,0,0,5,1,6,0,0,0,No
1,7,8.8.2017,31,B,85,0.076086957,,,,Absent,Pea,Absent,Absent,No,7,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,32,A,93,0.367346939,,,,Absent,Pea,Absent,Absent,No,54,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
1,7,8.8.2017,32,B,93,0.295454545,,,,Present,Pea,Absent,Absent,No,39,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
2,7,8.23.2017,33,A,54,0.379310345,23.37666667,29.11333333,5.736666667,Absent,Pea,Present,Present,No,33,5,3,0,Top,0,0,0,0,0,0,0,0,3,3,Yes
2,7,8.23.2017,33,B,54,0.25,22.11333333,27.66666667,5.553333333,Present,Pea,Present,Present,No,18,5,9,1,Top,2,1,1,2,0,0,0,0,7,7,No
2,7,8.23.2017,34,A,1,0.961538462,20.84,25.18,4.34,Present,Pea,Absent,Present,No,25,5,18,1,Top,0,0,0,0,1,16,17,0,1,1,No
2,7,8.23.2017,34,B,1,0.875,34.18666667,27.41333333,-6.773333333,Absent,Pea,Absent,Present,No,7,5,1,0,Top,0,0,0,0,0,1,1,0,0,0,No
2,7,8.23.2017,35,A,79,0.558659218,22.22333333,26.05,3.826666667,Present,Pea,Present,Absent,No,100,5,31,5,Top,23,3,20,23,2,4,6,0,2,2,No
2,7,8.23.2017,35,B,79,0.261682243,31.23333333,25.46,-5.773333333,Absent,Pea,Present,Absent,No,28,5,6,1,Top,2,1,1,2,0,4,4,0,0,0,No
